Date,BTC_USDT_Price,ETH_USDT_Price,BTC_Amount,ETH_Amount
2024/10/4 00:16,60639.1,2343.47,1e-05,1.2004
2024/10/4 00:16,60639,2343.74,1e-05,2.293539
2024/10/4 00:16,60639,2344.01,0,0.0001
2024/10/4 00:16,60639,2344.09,0,0.200683
2024/10/4 00:31,60764,2349.38,0.00157682,0.0001
2024/10/4 00:31,60762.3,2349.31,0.08963307,0.083524
2024/10/4 00:31,60776,2349.31,0.00799992,0
2024/10/4 00:31,60776,2349.73,0,0.022124
2024/10/4 00:31,60776,2349.73,0,0
2024/10/4 00:31,60776.3,2349.73,0.0083,0
2024/10/4 00:31,60774.1,2349.72,1.65209921,0.1279
2024/10/4 00:31,60774.1,2349.6,0,0.021378
2024/10/4 00:31,60774.1,2349.6,0,0
2024/10/4 00:31,60774.1,2349.6,0,0.02138
2024/10/4 00:31,60781,2349.84,0.00837492,15.785823
2024/10/4 00:31,60783.5,2350.19,0.01112193,0.0001
2024/10/4 00:31,60790,2350.2,0.0093259,3.277036
2024/10/4 00:31,60795.9,2350.77,0.62561493,7.526164
2024/10/4 00:31,60786.2,2350.77,0.28457288,0
2024/10/4 00:31,60782.8,2350.21,1e-05,0.0001
2024/10/4 00:31,60780.1,2350.09,0.00160381,1.710424
2024/10/4 00:31,60774,2349.62,0.079106,8.291814
2024/10/4 00:31,60768,2349.15,0.00167452,0.0001
2024/10/4 00:31,60768,2349.03,0.00036908,0.0001
2024/10/4 00:32,60768,2349,0.00945295,1.714214
2024/10/4 00:32,60760,2348.81,0.0070131,0.000306
2024/10/4 00:32,60753.7,2348.56,0.26137166,1.849704
2024/10/4 00:32,60740.6,2347.56,0.0384972,2.860809
2024/10/4 00:32,60725.5,2346.68,0.02152915,0.128113
2024/10/4 00:32,60728.9,2346.68,0.04706891,2.903065
2024/10/4 00:32,60719,2346.68,1e-05,0
2024/10/4 00:32,60719.1,2345.85,0.01406198,0.0003
2024/10/4 00:32,60719.1,2346.09,0,0.002238
2024/10/4 00:32,60719.1,2346.2,0.00800978,0.0002
2024/10/4 00:32,60719.3,2346.32,0.00851474,0.19725
2024/10/4 00:32,60725.3,2346.44,0.10901,0.0002
2024/10/4 00:32,60725.3,2346.56,0,0.0002
2024/10/4 00:32,60733.9,2346.56,0.02117273,0
2024/10/4 00:32,60734,2346.79,0.01258532,0.11623
2024/10/4 00:32,60734,2347.04,0,0.0001
2024/10/4 00:32,60740.6,2347.03,0.00468224,0.0001
2024/10/4 00:32,60733.5,2347.01,0.00025504,0.0001
2024/10/4 00:32,60733.6,2347.02,0.00419613,0.01
2024/10/4 00:32,60737.7,2347.26,0.01896905,0.029517
2024/10/4 00:32,60737.7,2347.03,0,0.0001
2024/10/4 00:32,60734,2346.92,0.00506,0.0001
2024/10/4 00:32,60733.9,2346.92,0.00032929,0
2024/10/4 00:32,60733.9,2346.92,0,0
2024/10/4 00:32,60733.9,2346.84,0,0.0001
2024/10/4 00:32,60734.4,2346.91,2e-05,0.0002
2024/10/4 00:32,60734.4,2347.14,0,0.00035
2024/10/4 00:32,60739.9,2347.03,0.00026512,0.0001
2024/10/4 00:32,60739.9,2347.13,0.00256274,0.323199
2024/10/4 00:32,60746.4,2347.14,0.00159018,0.0003
2024/10/4 00:32,60749.6,2347.49,0.00071028,0.0004
2024/10/4 00:32,60752.6,2347.49,0.00824045,0
2024/10/4 00:32,60756.9,2347.85,0.00434131,1.618678
2024/10/4 00:32,60748.9,2347.83,1e-05,0.0001
2024/10/4 00:32,60748.9,2347.79,0.02001,0.032283
